"statementText","ProlificID","click_rating","share_rating","agreement_rating","Educational.Level","DemRep_C_num","Ideology_econ_num","Ideology_soc_num","ideology","income_num","gender","Household","AttentionCheck2","top25pre","bottom25pre","lower25pre","upper25pre","top25post","bottom25post","lower25post","upper25post","inequality_subj_1","inequality_pol_1","inequality_luck_1_1","inequality_subj_2","inequality_pol_2","inequality_luck_2_1","item_nr","condition"
"Conservative Black columnist speaks on inequality and social justice at Susquehanna","678c1d5f1dbab87e957ae69f",6,5,4,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,36,"original"
"The Alaska Permanent Fund isn't exactly universal basic income, but offers similar benefits to UBI. Here's how it works.","678c1d5f1dbab87e957ae69f",5,5,5,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,76,"original"
"New Report Exposes Tax System’s Role in Widening Racial Wealth Gap, Calls for Urgent Reforms","678c1d5f1dbab87e957ae69f",6,6,5,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,1,"original"
"The Race Gap: How U.S. systemic racism plays out in Black lives","678c1d5f1dbab87e957ae69f",6,6,7,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,50,"original"
"Bernie Sanders 2020: Is US inequality the highest?","678c1d5f1dbab87e957ae69f",6,6,7,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,23,"original"
"Research Challenges Assumption that Lower Interest Rates Make Education More Accessible to the Poor","678c1d5f1dbab87e957ae69f",5,4,4,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,26,"flipped"
"US Sees Unprecedented Wealth Growth, Outpacing Global Peers","678c1d5f1dbab87e957ae69f",5,4,3,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,5,"flipped"
"Debate Over Trickle-Down Economics Fueled by New Research","678c1d5f1dbab87e957ae69f",5,5,3,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,65,"flipped"
"New Study Reveals Surprising Differences in Wealth Inequality Across Countries","678c1d5f1dbab87e957ae69f",5,6,5,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,3,"flipped"
"Despite Record Low Unemployment, Racial Employment Gap Remains a Major Challenge","678c1d5f1dbab87e957ae69f",4,4,2,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,34,"flipped"
"Gym Prices Leave Would-Be Climbers Grasping for an Affordable Hold","678c1d5f1dbab87e957ae69f",3,4,2,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,44,"flipped"
"The Double-Edged Sword of Technological Progress: Balancing Economic Growth and Social Challenges","678c1d5f1dbab87e957ae69f",5,4,3,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,16,"flipped"
"Jamie Dimon Urges Presidential Candidates to Set Aside Partisan Rhetoric and Focus on Common Ground","678c1d5f1dbab87e957ae69f",2,2,1,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,95,"flipped"
"Voter Turnout in Metro Atlanta Reveals Surprising Geographic Divide","678c1d5f1dbab87e957ae69f",3,4,2,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,70,"flipped"
"New Pilot Program in Colorado Offers $7200 in Assistance to Families with Young Children","678c1d5f1dbab87e957ae69f",6,6,5,"Master's degree",2,1,1,1,5,"Male",4,"Not at all interested,Extremely interested",13,5,26,56,5,47,32,16,6,6,5,6,6,6,92,"flipped"
"Economic Gains From Tech Come at the Cost of Rising Wealth Inequality","67f7cca113e574d16e933e49",5,5,6,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,16,"original"
"Project 2025 and GOP Agenda Would Increase Poverty and Wealth Gap, Experts Say","67f7cca113e574d16e933e49",5,5,5,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,21,"original"
"New Universal Basic Income Program in this state: $300/monthly payments coming soon","67f7cca113e574d16e933e49",6,6,5,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,92,"original"
"Bernie Sanders 2020: Is US inequality the highest?","67f7cca113e574d16e933e49",5,4,4,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,23,"original"
"Inequality and complacency: Experts weigh in on Minnesota’s lagging student achievement","67f7cca113e574d16e933e49",5,4,5,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,103,"original"
"The Paradox Of Progress For Black Americans","67f7cca113e574d16e933e49",6,6,4,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,34,"original"
"The Alaska Permanent Fund isn't exactly universal basic income, but offers similar benefits to UBI. Here's how it works.","67f7cca113e574d16e933e49",4,5,4,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,76,"original"
"Global Wealth Report 2024","67f7cca113e574d16e933e49",6,6,6,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,5,"original"
"New Report Exposes Tax System’s Role in Widening Racial Wealth Gap, Calls for Urgent Reforms","67f7cca113e574d16e933e49",6,5,5,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,1,"original"
"Voter turnout in metro Atlanta differs by region, race and income","67f7cca113e574d16e933e49",5,6,5,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,70,"original"
"Research Challenges Assumption that Lower Interest Rates Make Education More Accessible to the Poor","67f7cca113e574d16e933e49",6,6,6,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,26,"flipped"
"Conservative Author Sparks Discussion on Campus with Views on Inequality","67f7cca113e574d16e933e49",5,5,6,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,36,"flipped"
"New Study Reveals Surprising Differences in Wealth Inequality Across Countries","67f7cca113e574d16e933e49",6,6,6,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,3,"flipped"
"Choices and Circumstances: Exploring the Complexities of the Gender Pay Gap","67f7cca113e574d16e933e49",5,5,6,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,15,"flipped"
"Black Americans Face a Critical Choice in the 2024 Election","67f7cca113e574d16e933e49",5,5,5,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,31,"flipped"
"Gap in Life Expectancy Between Black and White Americans Remains Wide","67f7cca113e574d16e933e49",5,6,4,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,50,"flipped"
"Tax Experts Identify Inequities in Current Tax Law, Propose Solutions","67f7cca113e574d16e933e49",6,5,5,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,2,"flipped"
"Debate Over Trickle-Down Economics Fueled by New Research","67f7cca113e574d16e933e49",5,5,5,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,65,"flipped"
"Jamie Dimon Urges Presidential Candidates to Set Aside Partisan Rhetoric and Focus on Common Ground","67f7cca113e574d16e933e49",6,6,5,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,95,"flipped"
"Gym Prices Leave Would-Be Climbers Grasping for an Affordable Hold","67f7cca113e574d16e933e49",4,4,4,"Master's degree",2,1,1,1,4,"Female",1,"Not at all interested,Extremely interested",33,17,23,27,33,13,25,29,7,5,4,6,5,4,44,"flipped"
"Project 2025 and GOP Agenda Would Increase Poverty and Wealth Gap, Experts Say","67f6baa6bd90906858595481",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,21,"original"
"Can Climbing Outrun its Own Elitism with Inclusive Gym Pricing?","67f6baa6bd90906858595481",5,6,5,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,44,"original"
"Bernie Sanders 2020: Is US inequality the highest?","67f6baa6bd90906858595481",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,23,"original"
"Tax cuts for the wealthy only benefit the rich: debunking trickle-down economics","67f6baa6bd90906858595481",5,5,6,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,65,"original"
"The Alaska Permanent Fund isn't exactly universal basic income, but offers similar benefits to UBI. Here's how it works.","67f6baa6bd90906858595481",5,5,4,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,76,"original"
"Can Low Interest Rates Drive Inequality?","67f6baa6bd90906858595481",3,3,4,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,26,"original"
"New Report Exposes Tax System’s Role in Widening Racial Wealth Gap, Calls for Urgent Reforms","67f6baa6bd90906858595481",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,1,"original"
"Global Wealth Report 2024","67f6baa6bd90906858595481",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,5,"original"
"2024: A Defining Election For Black Rights And Economic Equality","67f6baa6bd90906858595481",5,5,4,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,31,"original"
"Conservative Black columnist speaks on inequality and social justice at Susquehanna","67f6baa6bd90906858595481",4,6,5,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,36,"original"
"Choices and Circumstances: Exploring the Complexities of the Gender Pay Gap","67f6baa6bd90906858595481",4,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,15,"flipped"
"Gap in Life Expectancy Between Black and White Americans Remains Wide","67f6baa6bd90906858595481",5,5,4,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,50,"flipped"
"Voter Turnout in Metro Atlanta Reveals Surprising Geographic Divide","67f6baa6bd90906858595481",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,70,"flipped"
"Despite Record Low Unemployment, Racial Employment Gap Remains a Major Challenge","67f6baa6bd90906858595481",5,5,4,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,34,"flipped"
"New Pilot Program in Colorado Offers $7200 in Assistance to Families with Young Children","67f6baa6bd90906858595481",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,92,"flipped"
"The Double-Edged Sword of Technological Progress: Balancing Economic Growth and Social Challenges","67f6baa6bd90906858595481",4,4,4,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,16,"flipped"
"Tax Experts Identify Inequities in Current Tax Law, Propose Solutions","67f6baa6bd90906858595481",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,2,"flipped"
"Despite Increased Funding, Minnesota Students Lag Behind Peers","67f6baa6bd90906858595481",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,103,"flipped"
"Jamie Dimon Urges Presidential Candidates to Set Aside Partisan Rhetoric and Focus on Common Ground","67f6baa6bd90906858595481",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,95,"flipped"
"New Study Reveals Surprising Differences in Wealth Inequality Across Countries","67f6baa6bd90906858595481",4,6,4,"Bachelor's degree in college (4-year)",2,1,1,1,2,"Male",5,"Not at all interested,Extremely interested",45,13,18,24,47,6,20,27,5,5,4,5,4,5,3,"flipped"
"Inequality and complacency: Experts weigh in on Minnesota’s lagging student achievement","67f11ef199fadf3fa7bb5d78",5,6,5,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,103,"original"
"2024: A Defining Election For Black Rights And Economic Equality","67f11ef199fadf3fa7bb5d78",6,6,6,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,31,"original"
"Project 2025 and GOP Agenda Would Increase Poverty and Wealth Gap, Experts Say","67f11ef199fadf3fa7bb5d78",6,7,6,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,21,"original"
"New Report Exposes Tax System’s Role in Widening Racial Wealth Gap, Calls for Urgent Reforms","67f11ef199fadf3fa7bb5d78",6,5,5,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,1,"original"
"Jamie Dimon on how economic inequality fueled political polarization and what can be done","67f11ef199fadf3fa7bb5d78",5,5,5,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,95,"original"
"Conservative Black columnist speaks on inequality and social justice at Susquehanna","67f11ef199fadf3fa7bb5d78",6,6,5,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,36,"original"
"Can Climbing Outrun its Own Elitism with Inclusive Gym Pricing?","67f11ef199fadf3fa7bb5d78",3,4,3,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,44,"original"
"The Race Gap: How U.S. systemic racism plays out in Black lives","67f11ef199fadf3fa7bb5d78",6,6,5,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,50,"original"
"How can we understand wealth inequality across countries?","67f11ef199fadf3fa7bb5d78",5,5,5,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,3,"original"
"The Alaska Permanent Fund isn't exactly universal basic income, but offers similar benefits to UBI. Here's how it works.","67f11ef199fadf3fa7bb5d78",5,5,4,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,76,"original"
"Debate Over Trickle-Down Economics Fueled by New Research","67f11ef199fadf3fa7bb5d78",6,7,6,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,65,"flipped"
"Voter Turnout in Metro Atlanta Reveals Surprising Geographic Divide","67f11ef199fadf3fa7bb5d78",5,6,5,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,70,"flipped"
"Research Challenges Assumption that Lower Interest Rates Make Education More Accessible to the Poor","67f11ef199fadf3fa7bb5d78",6,6,6,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,26,"flipped"
"US Sees Unprecedented Wealth Growth, Outpacing Global Peers","67f11ef199fadf3fa7bb5d78",6,6,6,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,5,"flipped"
"New Pilot Program in Colorado Offers $7200 in Assistance to Families with Young Children","67f11ef199fadf3fa7bb5d78",5,5,5,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,92,"flipped"
"Tax Experts Identify Inequities in Current Tax Law, Propose Solutions","67f11ef199fadf3fa7bb5d78",6,6,6,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,2,"flipped"
"Choices and Circumstances: Exploring the Complexities of the Gender Pay Gap","67f11ef199fadf3fa7bb5d78",5,5,5,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,15,"flipped"
"Despite Record Low Unemployment, Racial Employment Gap Remains a Major Challenge","67f11ef199fadf3fa7bb5d78",5,5,5,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,34,"flipped"
"The Double-Edged Sword of Technological Progress: Balancing Economic Growth and Social Challenges","67f11ef199fadf3fa7bb5d78",6,6,6,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,16,"flipped"
"Is the US Really the Most Unequal Major Country?","67f11ef199fadf3fa7bb5d78",3,3,3,"Master's degree",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",10,40,30,20,10,40,30,20,6,6,7,6,6,6,23,"flipped"
"Global Wealth Report 2024","67f052147bb0231d3bddc9df",6,6,5,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,5,"original"
"Conservative Black columnist speaks on inequality and social justice at Susquehanna","67f052147bb0231d3bddc9df",3,3,3,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,36,"original"
"Inequality and complacency: Experts weigh in on Minnesota’s lagging student achievement","67f052147bb0231d3bddc9df",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,103,"original"
"Can Climbing Outrun its Own Elitism with Inclusive Gym Pricing?","67f052147bb0231d3bddc9df",6,6,6,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,44,"original"
"New Universal Basic Income Program in this state: $300/monthly payments coming soon","67f052147bb0231d3bddc9df",5,5,6,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,92,"original"
"Voter turnout in metro Atlanta differs by region, race and income","67f052147bb0231d3bddc9df",6,6,6,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,70,"original"
"The Race Gap: How U.S. systemic racism plays out in Black lives","67f052147bb0231d3bddc9df",6,6,6,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,50,"original"
"2024: A Defining Election For Black Rights And Economic Equality","67f052147bb0231d3bddc9df",4,4,4,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,31,"original"
"Economic Gains From Tech Come at the Cost of Rising Wealth Inequality","67f052147bb0231d3bddc9df",6,6,6,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,16,"original"
"Bernie Sanders 2020: Is US inequality the highest?","67f052147bb0231d3bddc9df",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,23,"original"
"Choices and Circumstances: Exploring the Complexities of the Gender Pay Gap","67f052147bb0231d3bddc9df",4,4,4,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,15,"flipped"
"Tax Experts Identify Inequities in Current Tax Law, Propose Solutions","67f052147bb0231d3bddc9df",6,6,6,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,2,"flipped"
"New Study Reveals Surprising Differences in Wealth Inequality Across Countries","67f052147bb0231d3bddc9df",6,6,6,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,3,"flipped"
"Debate Over Trickle-Down Economics Fueled by New Research","67f052147bb0231d3bddc9df",6,6,6,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,65,"flipped"
"Despite Record Low Unemployment, Racial Employment Gap Remains a Major Challenge","67f052147bb0231d3bddc9df",6,6,6,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,34,"flipped"
"Report Highlights Racial Wealth Gap in US Tax System","67f052147bb0231d3bddc9df",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,1,"flipped"
"Jamie Dimon Urges Presidential Candidates to Set Aside Partisan Rhetoric and Focus on Common Ground","67f052147bb0231d3bddc9df",6,6,6,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,95,"flipped"
"Research Challenges Assumption that Lower Interest Rates Make Education More Accessible to the Poor","67f052147bb0231d3bddc9df",3,3,3,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,26,"flipped"
"Proposed GOP Budget Cuts Would Reduce Federal Deficit, but Carry Social Costs","67f052147bb0231d3bddc9df",6,6,6,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,21,"flipped"
"Dividend Payments Work: The Surprising Success of Alaska's Permanent Fund","67f052147bb0231d3bddc9df",5,5,5,"Bachelor's degree in college (4-year)",2,1,1,1,4,"Male",4,"Not at all interested,Extremely interested",40,15,20,25,40,15,20,25,5,6,6,5,6,6,76,"flipped"
"2024: A Defining Election For Black Rights And Economic Equality","5a21f3731a1ad3000138f901",1,1,1,"Associate degree in college (2-year)",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",85,2,3,10,90,2,3,5,1,1,2,1,1,2,31,"original"
"Bernie Sanders 2020: Is US inequality the highest?","5a21f3731a1ad3000138f901",1,1,1,"Associate degree in college (2-year)",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",85,2,3,10,90,2,3,5,1,1,2,1,1,2,23,"original"
"Conservative Black columnist speaks on inequality and social justice at Susquehanna","5a21f3731a1ad3000138f901",3,1,5,"Associate degree in college (2-year)",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",85,2,3,10,90,2,3,5,1,1,2,1,1,2,36,"original"
"New Report Exposes Tax System’s Role in Widening Racial Wealth Gap, Calls for Urgent Reforms","5a21f3731a1ad3000138f901",1,1,1,"Associate degree in college (2-year)",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",85,2,3,10,90,2,3,5,1,1,2,1,1,2,1,"original"
"New Universal Basic Income Program in this state: $300/monthly payments coming soon","5a21f3731a1ad3000138f901",1,1,1,"Associate degree in college (2-year)",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",85,2,3,10,90,2,3,5,1,1,2,1,1,2,92,"original"
"Voter turnout in metro Atlanta differs by region, race and income","5a21f3731a1ad3000138f901",2,1,4,"Associate degree in college (2-year)",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",85,2,3,10,90,2,3,5,1,1,2,1,1,2,70,"original"
"New report exposes tax system’s role in widening racial wealth gap, calls for urgent reforms","5a21f3731a1ad3000138f901",1,1,1,"Associate degree in college (2-year)",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",85,2,3,10,90,2,3,5,1,1,2,1,1,2,2,"original"
"The Paradox Of Progress For Black Americans","5a21f3731a1ad3000138f901",1,1,4,"Associate degree in college (2-year)",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",85,2,3,10,90,2,3,5,1,1,2,1,1,2,34,"original"
"Jamie Dimon on how economic inequality fueled political polarization and what can be done","5a21f3731a1ad3000138f901",3,1,4,"Associate degree in college (2-year)",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",85,2,3,10,90,2,3,5,1,1,2,1,1,2,95,"original"
"Can Climbing Outrun its Own Elitism with Inclusive Gym Pricing?","5a21f3731a1ad3000138f901",1,1,4,"Associate degree in college (2-year)",3,2,2,2,1,"Male",1,"Not at all interested,Extremely interested",85,2,3,10,90,2,3,5,1,1,2,1,1,2,44,"original"
